,,,,,
Date,Facebook Close,Tesla Close,Tilray Close,Amazon Close,Shopify Close
23/02/2017,135.36,51.2,,852.19,94.24
24/02/2017,135.44,51.4,,845.24,94.93
27/02/2017,136.41,49.25,,848.64,89.84
28/02/2017,135.54,50,,845.04,92.11
01/03/2017,137.42,50,,853.08,88.87
02/03/2017,136.76,50.1,,848.91,89.6
03/03/2017,137.17,50.31,,849.88,90.02
06/03/2017,137.42,50.24,,846.61,90.81
07/03/2017,137.3,49.72,,846.02,90.22
08/03/2017,137.72,49.37,,850.5,90.74
09/03/2017,138.24,48.98,,853,90.57
10/03/2017,138.79,48.74,,852.46,91.86
13/03/2017,139.6,49.23,,854.59,93.44
14/03/2017,139.32,51.6,,852.53,97.53
15/03/2017,139.72,51.15,,852.97,97.48
16/03/2017,139.99,52.41,,853.42,98.61
17/03/2017,139.84,52.3,,852.31,96.99
20/03/2017,139.94,52.38,,856.97,98.84
21/03/2017,138.51,50.14,,843.2,91.45
22/03/2017,139.59,51,,848.06,88.89
23/03/2017,139.53,50.96,,847.38,86.93
24/03/2017,140.34,52.63,,845.61,85.36
27/03/2017,140.32,54.04,,846.82,85.48
28/03/2017,141.76,55.49,,856,86.93
29/03/2017,142.65,55.48,,874.32,90.56
30/03/2017,142.41,55.58,,876.34,88.94
31/03/2017,142.05,55.66,,886.54,91.25
03/04/2017,142.28,59.7,,891.51,91.37
04/04/2017,141.73,60.74,,906.83,94.48
05/04/2017,141.85,59,,909.28,92.04
06/04/2017,141.17,59.74,,898.28,87.04
07/04/2017,140.78,60.51,,894.88,89.52
10/04/2017,141.04,62.48,,907.04,86.4
11/04/2017,139.92,61.74,,902.36,86.9
12/04/2017,139.58,59.37,,896.23,86
13/04/2017,139.39,60.8,,884.67,88.11
17/04/2017,141.42,60.29,,901.99,86.21
18/04/2017,140.96,60.05,,903.78,88.99
19/04/2017,142.27,61.1,,899.2,90.99
20/04/2017,143.8,60.5,,902.06,91.29
21/04/2017,143.68,61.12,,898.53,94.68
24/04/2017,145.47,61.61,,907.41,93.02
25/04/2017,146.49,62.76,,907.62,92.41
26/04/2017,146.56,62.03,,909.29,90.49
27/04/2017,147.7,61.73,,918.38,93.18
28/04/2017,150.25,62.81,,924.99,91.9
01/05/2017,152.46,64.57,,948.23,90.87
02/05/2017,152.78,63.78,,946.94,89.42
03/05/2017,151.8,62.2,,941.03,93.61
04/05/2017,150.85,59.09,,937.53,92.16
05/05/2017,150.24,61.67,,934.15,93.92
08/05/2017,151.06,61.44,,949.04,90.43
09/05/2017,150.48,64.25,,952.82,92.98
10/05/2017,150.29,65.04,,948.95,92.37
11/05/2017,150.04,64.62,,947.62,104.08
12/05/2017,150.33,64.96,,961.35,98.35
15/05/2017,150.19,63.18,,957.97,97.16
16/05/2017,149.78,63.4,,966.07,96.28
17/05/2017,144.85,61.22,,944.76,97.79
18/05/2017,147.66,62.61,,958.49,96.51
19/05/2017,148.06,62.17,,959.84,95.19
22/05/2017,148.24,62.07,,970.67,88.4
23/05/2017,148.07,60.77,,971.54,91.71
24/05/2017,150.04,62.04,,980.35,94.06
25/05/2017,151.96,63.37,,993.38,93.15
26/05/2017,152.13,65.03,,995.78,94.61
30/05/2017,152.38,67.02,,996.7,93.5
31/05/2017,151.46,68.2,,994.62,94.58
01/06/2017,151.53,68.07,,995.95,96.27
02/06/2017,153.61,67.97,,1006.73,98.61
05/06/2017,153.63,69.46,,1011.34,102.46
06/06/2017,152.81,70.57,,1003,106.53
07/06/2017,153.12,71.93,,1010.07,103.74
08/06/2017,154.71,74,,1010.27,103.79
09/06/2017,149.6,71.46,,978.31,104.37
12/06/2017,148.44,71.8,,964.91,108.44
13/06/2017,150.68,75.19,,980.79,110.92
14/06/2017,150.25,76.13,,976.47,110.86
15/06/2017,149.8,75.07,,964.17,110.67
16/06/2017,150.64,74.28,,987.71,110.22
19/06/2017,152.87,73.96,,995.17,113.46
20/06/2017,152.25,74.45,,992.59,113.61
21/06/2017,153.91,75.28,,1002.23,117.99
22/06/2017,153.4,76.52,,1001.3,120.5
23/06/2017,155.07,76.69,,1003.74,119.21
26/06/2017,153.59,75.5,,993.98,120.2
27/06/2017,150.58,72.47,,976.78,120.26
28/06/2017,153.24,74.25,,990.33,122.42
29/06/2017,151.04,72.15,,975.93,122.94
30/06/2017,150.98,72.32,,968,119.29
03/07/2017,148.43,70.52,,953.66,120.15
05/07/2017,150.34,65.42,,971.4,120.27
06/07/2017,148.82,61.77,,965.14,114.47
07/07/2017,151.44,62.64,,978.76,113.38
10/07/2017,153.5,63.21,,996.47,117.4
11/07/2017,155.27,65.44,,994.13,116.45
12/07/2017,158.9,65.9,,1006.51,116.49
13/07/2017,159.26,64.68,,1000.63,119
14/07/2017,159.97,65.56,,1001.81,116.81
17/07/2017,159.73,63.91,,1010.04,103.3
